Номер заказа;Артикул WB;Баркод;Название товара;Количество;Цена;Дата заказа;Склад;Статус
3004152283;Брудер_П_95_Стандарт;;;0;1299000;2025-02-19T12:13:37Z;;confirm/waiting
3004282124;Брудер_П_55_Стандарт;;;0;899000;2025-02-19T12:38:40Z;;confirm/waiting
3004466262;инфракрасная_лампа_300_2шт;;;0;188700;2025-02-19T13:14:44Z;;confirm/waiting
3004712304;Брудер_Базис_90_Стандарт;;;0;1048900;2025-02-19T14:02:07Z;;confirm/waiting
3005040769;Брудер_ПУ_95_БР;;;0;1369500;2025-02-19T15:07:52Z;;confirm/waiting
3005108485;Брудер_Базис_90_Престиж;;;0;1098900;2025-02-19T15:21:29Z;;confirm/waiting
3005518846;Лампа_Керам_100Вт;;;0;51600;2025-02-19T16:39:34Z;;confirm/waiting
3006864478;Кормушка_поилка_1.5;;;0;56800;2025-02-19T23:44:53Z;;confirm/waiting
3006910179;Брудер_Базис_90_Престиж;;;0;1229000;2025-02-20T00:53:09Z;;confirm/waiting
3007022830;Брудер_Базис_90_Престиж;;;0;1098900;2025-02-20T02:48:38Z;;confirm/waiting
3007116517;Кормушка_поилка_1.5;;;0;76000;2025-02-20T03:44:37Z;;confirm/waiting
3007258160;Инкубатор_SH_64;;;0;965600;2025-02-20T04:41:49Z;;confirm/waiting
3007384172;Кормушка_поилка_1.5;;;0;56800;2025-02-20T05:21:43Z;;confirm/waiting
3008753608;Брудер_П_55_Престиж;;;0;949000;2025-02-20T09:59:40Z;;confirm/waiting
3008856387;Брудер_П_55_Престиж;;;0;949000;2025-02-20T10:19:36Z;;confirm/waiting
3008997481;Кормушка_поилка_1.5;;;0;56800;2025-02-20T10:47:14Z;;confirm/waiting
3009526150;Кормушка_поилка_1.5;;;0;56800;2025-02-20T12:30:07Z;;confirm/waiting
3009526157;Кормушка_поилка_1.5;;;0;56800;2025-02-20T12:30:07Z;;confirm/waiting
3009526169;Кормушка_поилка_1.5;;;0;56800;2025-02-20T12:30:07Z;;confirm/waiting
3009526174;Кормушка_поилка_1.5;;;0;56800;2025-02-20T12:30:07Z;;confirm/waiting
3009546296;Кормушка_поилка_1.5;;;0;56800;2025-02-20T12:34:05Z;;confirm/waiting
3009638367;Брудер_ПУ_95_БР;;;0;1369500;2025-02-20T12:52:38Z;;confirm/waiting
