Раскрой,Деталь,Фото,,Название операции,конусы,ширина листа,длина листа,площ.листа,площ детали,кол-во на листе,кол-во в изделии,площ всех дет.одного вида,% на листе,площадь детали с учетом отходов,,"периметр, мм",% от сумм периметров и отверстий,мин,сек,общее время резки  листа,количество отверстий,время резки детали,,,,,,,,
,M,,,,"оц.0,35",1250,2000,25000,110000,2,1,2200,"11,083","1385,39",2771,,"0,0",0,0,0,,0,,,,,,нов . артикул,стар. артикул,
,S,,,,"оц.0,35",1250,2000,25000,165000,3,1,4950,"24,937","2078,09",6234,,"0,0",,,0,,0,,,,,,02.01.04.1,02.01.01,
,L,,,,"оц.0,35",1250,2000,25000,255000,2,1,5100,"25,693","3211,59",6423,,"0,0",,,0,,0,,,,,,02.02.04.1,02.02.01,
,XL,,,,"оц.0,35",1250,2000,25000,380000,2,1,7600,"38,287","4785,89",9572,,"0,0",,,0,,0,,,,,,02.03.04.1,02.03.01,
,,,,,,1250,2000,25000,,,,0,"0,000","0,00",0,,"0,0",,,0,,0,,,,,,02.04.04.1,02.04.01,
,,,,,,1250,2000,25000,,,,0,"0,000","0,00",0,,"0,0",,,0,,0,,,,,,02.05.04.1,02.01.01,
,,,,,,1250,2000,25000,,,,0,"0,000","0,00",0,,"0,0",,,0,,0,,,,,,02.06.04.1,02.03.01,
,,,,,,1250,2000,25000,,,,0,"0,000","0,00",0,,"0,0",,,0,,0,,,,,,02.07.04.1,02.07.01,
,,,,,,1250,2000,25000,,,,0,"0,000","0,00",0,,"0,0",,,0,,0,,,,,,02.08.04.1,02.01.01,
,,,,,,1250,2000,25000,,,,0,"0,000","0,00",0,,"0,0",,,0,,0,,,,,,02.09.05.1,02.09.01,
,,,,,,,,,,,,19850,"20,6",,,0,"0,0",,,,0,,,,,,,02.10.04.1,02.01.01,
,,,,,,,,,,,,,% отхода,,проверка,общ периметр,,,,,общ кол отвер,провер врем рез,,,,,,02.11.04.1,02.03.01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,02.12.04.1,02.12.01,
